"trip_id","trip_id_orig","observed","trip_date","julian_date_s","day_id","trip_duration","day_trip","group_type","pooled","harvest","forager_id","age_type","age_dist_1","age_dist_2","sex","dogs","gun","trip_year","a_1_id","a_1_sex","a_1_age_dist_1","a_1_age_dist_2","a_1_firearms"
173,173,NA,1984-01-28,-0.477190521722956,5140,4.5,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
174,174,NA,1984-01-11,-0.478670080574788,5123,4.5,1,"Independent",0,0,15,"Exact",40,0,"M",0,1,1984,NA,NA,NA,NA,NA
175,175,NA,1983-11-16,-0.483543921498473,5067,8,1,"Independent",0,0,15,"Exact",39,0,"M",0,1,1983,NA,NA,NA,NA,NA
176,176,NA,1983-11-18,-0.483369855751198,5069,4.5,1,"Independent",0,0,15,"Exact",39,0,"M",0,1,1983,NA,NA,NA,NA,NA
177,177,NA,1983-11-19,-0.483282822877561,5070,4.5,1,"Independent",0,0,15,"Exact",39,0,"M",0,1,1983,NA,NA,NA,NA,NA
178,178,NA,1983-11-16,-0.483543921498473,5067,4.5,1,"Independent",0,0,38,"Exact",18,0,"M",NA,0,1983,NA,NA,NA,NA,NA
179,179,NA,1983-11-17,-0.483456888624836,5068,4.5,1,"Independent",0,0,38,"Exact",18,0,"M",NA,1,1983,NA,NA,NA,NA,NA
180,180,NA,1984-01-16,-0.478234916206602,5128,4.5,1,"Independent",0,25,35,"Exact",18,0,"M",NA,NA,1984,NA,NA,NA,NA,NA
181,181,NA,1984-01-21,-0.477799751838416,5133,8,1,"Independent",0,20,44,"Exact",31,0,"M",0,NA,1984,NA,NA,NA,NA,NA
182,182,NA,1984-01-29,-0.477103488849319,5141,24,0,"Cooperative",0,0,36,"Exact",25,0,"M",0,NA,1984,NA,NA,NA,NA,NA
182,182,NA,1984-01-29,-0.477103488849319,5141,24,0,"Cooperative",0,0,44,"Exact",31,0,"M",0,NA,1984,NA,NA,NA,NA,NA
182,182,NA,1984-01-29,-0.477103488849319,5141,24,0,"Cooperative",0,0,26,"Exact",19,0,"M",0,NA,1984,NA,NA,NA,NA,NA
183,183,NA,1984-01-30,-0.477016455975681,5142,NA,NA,"Cooperative",0,0,24,"Exact",36,0,"M",0,NA,1984,NA,NA,NA,NA,NA
183,183,NA,1984-01-30,-0.477016455975681,5142,NA,NA,"Cooperative",0,0,25,"Exact",31,0,"M",0,NA,1984,NA,NA,NA,NA,NA
184,184,NA,1984-01-04,-0.479279310690249,5116,8,1,"Independent",0,0,38,"Exact",19,0,"M",0,0,1984,NA,NA,NA,NA,NA
185,185,NA,1984-01-05,-0.479192277816612,5117,4.5,1,"Independent",0,0,38,"Exact",19,0,"M",0,0,1984,NA,NA,NA,NA,NA
186,186,NA,1984-01-19,-0.477973817585691,5131,NA,1,"Independent",0,0,34,"Exact",32,0,"M",0,1,1984,NA,NA,NA,NA,NA
187,187,NA,2064-10-09,2.08810342873413,34615,8,1,"Independent",0,100,22,"Exact",28,0,"M",0,1,1964,NA,NA,NA,NA,NA
188,188,NA,2064-11-20,2.0917588094269,34657,8,1,"Independent",0,80,13,"Exact",33,0,"M",0,NA,1964,NA,NA,NA,NA,NA
